task_type,title,duration_minutes,urgency,deadline_urgency,importance_to_goals,depends_on_you,stress_level,motivation_level,enjoyment_level,task_blocking_others,priority
Work,Fix bug,31,4,Tomorrow,4,0,5,4,3,0,Medium
Study,Practice math,97,2,Today,4,1,5,4,3,0,Low
Work,Fix bug,144,1,No Deadline,3,0,1,1,1,0,Low
Personal,Organize photos,159,3,Tomorrow,5,0,2,1,1,1,Medium
Study,Practice math,18,1,Overdue,5,1,4,3,5,1,Medium
Work,Attend meeting,21,1,No Deadline,1,1,4,2,4,1,Low
Errand,Pick up parcel,108,2,Overdue,3,0,5,2,3,0,Low
Errand,Buy groceries,141,3,This Week,4,1,2,3,5,0,Medium
Work,Fix bug,31,1,No Deadline,2,1,3,4,4,0,Low
Study,Read chapter,58,1,Today,2,0,5,4,2,0,Low
Study,Revise notes,50,2,Today,1,0,2,2,4,1,Low
Health,Sleep early,119,1,Tomorrow,2,1,3,4,4,1,Low
Study,Submit assignment,81,3,Today,3,1,2,3,1,0,Low
Personal,Organize photos,39,1,No Deadline,5,0,4,4,3,0,Low
Errand,Buy groceries,60,5,Tomorrow,2,0,1,3,1,1,Medium
Work,Review code,70,1,Today,4,1,1,3,2,1,Low
Personal,Pay bills,110,2,This Week,2,1,3,4,4,1,Low
Errand,Pick up parcel,117,5,No Deadline,4,0,2,3,4,0,Low
Personal,Organize photos,12,1,Next Week,4,0,2,4,1,1,Low
Health,Sleep early,156,4,Today,4,1,1,5,5,1,Medium
Work,Send report,154,1,Tomorrow,4,0,3,4,4,1,Low
Health,Go to gym,114,3,This Week,3,1,5,1,1,1,Medium
Health,Meditate,54,2,This Week,5,0,4,1,4,1,Medium
Health,Go to gym,175,5,Overdue,5,1,4,2,5,0,High
Errand,Buy groceries,25,4,No Deadline,1,1,5,2,1,1,Low
Work,Send report,140,5,Next Week,3,0,5,1,1,0,Medium
Health,Meditate,76,3,Tomorrow,4,1,3,3,5,1,Medium
Personal,Organize photos,12,3,Tomorrow,5,1,1,1,4,0,Medium
Personal,Pay bills,168,4,No Deadline,5,1,1,1,1,1,Medium
Study,Submit assignment,69,1,No Deadline,4,0,3,1,1,1,Low
Personal,Organize photos,23,1,Tomorrow,3,0,4,4,1,0,Low
Errand,Pick up parcel,132,2,This Week,5,0,5,3,1,0,Low
Health,Sleep early,45,3,No Deadline,4,0,2,1,2,0,Low
Personal,Plan trip,109,4,This Week,4,0,3,2,2,1,Medium
Work,Write proposal,97,3,No Deadline,1,1,4,1,1,0,Low
Errand,Book tickets,153,4,No Deadline,3,1,5,2,1,0,Low
Personal,Organize photos,71,2,Next Week,4,0,3,3,1,1,Low
Study,Read chapter,70,2,No Deadline,2,0,3,1,1,1,Low
Work,Review code,180,3,This Week,5,0,1,4,3,1,Medium
Work,Write proposal,125,1,No Deadline,1,1,1,5,1,1,Low
Personal,Plan trip,115,3,No Deadline,4,1,5,2,5,0,Low
Work,Fix bug,39,3,Next Week,2,0,1,1,4,1,Low
Study,Revise notes,176,3,This Week,1,0,3,2,3,1,Low
Study,Revise notes,30,4,This Week,2,0,4,3,1,1,Medium
Errand,Buy groceries,159,2,This Week,3,0,3,5,5,0,Low
Health,Sleep early,16,5,Tomorrow,4,0,3,3,5,0,Medium
Study,Read chapter,128,2,Next Week,5,0,5,2,5,1,Medium
Work,Attend meeting,173,4,No Deadline,4,1,3,2,2,0,Low
Study,Revise notes,117,1,Today,4,0,2,4,3,1,Low
Personal,Organize photos,154,2,Today,3,1,3,2,4,0,Low
Health,Go to gym,85,5,Overdue,3,0,3,1,4,0,Medium
Health,Meditate,86,2,Tomorrow,4,1,5,4,2,0,Low
Work,Write proposal,134,5,This Week,2,1,4,4,2,0,Medium
Personal,Organize photos,82,4,Overdue,3,0,2,4,3,0,Medium
Health,Cook healthy meal,165,4,Next Week,5,1,1,1,5,0,Medium
Personal,Organize photos,27,2,No Deadline,3,0,1,5,3,1,Low
Errand,Visit bank,151,2,This Week,2,0,3,4,2,1,Low
Study,Watch lecture,148,2,Today,2,0,1,5,4,1,Low
Work,Attend meeting,94,2,Today,2,0,3,5,2,0,Low
Study,Read chapter,41,2,Tomorrow,4,0,2,4,2,0,Low
Personal,Call mom,116,3,This Week,5,0,1,5,1,0,Low
Study,Practice math,66,3,Next Week,4,0,4,1,3,1,Medium
Personal,Plan trip,96,5,Today,4,1,1,1,5,1,High
Study,Submit assignment,139,1,Tomorrow,5,1,5,1,5,0,Low
Work,Write proposal,44,1,This Week,4,0,2,3,2,1,Low
Study,Read chapter,71,3,This Week,5,0,2,4,3,1,Medium
Study,Revise notes,162,1,Next Week,1,1,2,3,3,1,Low
Health,Sleep early,180,1,Next Week,4,0,4,2,1,1,Low
Health,Cook healthy meal,152,1,Tomorrow,4,1,2,2,3,0,Low
Study,Watch lecture,66,4,Overdue,3,0,4,3,3,1,Medium
Study,Submit assignment,174,1,This Week,1,0,5,5,5,0,Low
Personal,Organize photos,102,3,No Deadline,2,1,5,2,4,0,Low
Errand,Buy groceries,39,5,Today,5,1,5,2,2,0,Medium
Errand,Visit bank,57,2,No Deadline,1,1,1,1,4,1,Low
Work,Send report,116,5,Next Week,3,0,2,4,4,1,Medium
Work,Send report,122,5,Today,5,0,5,2,4,0,Medium
Errand,Car service,156,1,Today,5,1,1,1,5,1,Low
Study,Practice math,89,1,Today,5,1,2,1,4,1,Low
Personal,Organize photos,85,5,Today,5,0,3,4,5,1,Medium
Personal,Plan trip,77,4,Today,5,1,2,2,3,0,Medium
Errand,Book tickets,165,3,Today,2,1,4,4,3,0,Low
Study,Revise notes,169,2,Next Week,3,1,1,1,1,0,Low
Errand,Buy groceries,155,2,This Week,3,1,1,4,5,1,Low
Work,Write proposal,152,1,Overdue,4,1,4,4,2,1,Low
Health,Meditate,92,4,Today,4,0,5,5,3,0,Medium
Errand,Book tickets,9,3,This Week,4,1,3,1,3,0,Medium
Errand,Buy groceries,38,2,No Deadline,5,1,2,2,1,1,Low
Study,Revise notes,145,5,No Deadline,2,1,5,2,2,0,Low
Work,Review code,155,1,Tomorrow,3,1,5,5,5,0,Low
Health,Go to gym,137,5,This Week,2,0,4,4,2,0,Medium
Health,Take vitamins,176,5,This Week,4,1,5,4,1,0,Medium
Errand,Book tickets,130,1,No Deadline,4,1,1,1,5,1,Low
Health,Take vitamins,97,4,Next Week,2,1,5,5,2,1,Low
Personal,Call mom,105,2,Today,3,0,2,4,2,0,Low
Errand,Buy groceries,12,5,Overdue,4,0,4,2,4,1,High
Personal,Pay bills,85,3,Overdue,1,0,5,5,5,1,Low
Personal,Organize photos,60,4,Overdue,1,0,5,2,5,0,Medium
Study,Read chapter,10,1,Overdue,4,1,4,3,2,1,Medium
Study,Revise notes,175,1,Next Week,1,0,3,3,2,1,Low
Personal,Organize photos,64,1,This Week,1,1,4,3,1,0,Low
Personal,Plan trip,134,4,Next Week,5,1,2,2,3,0,Medium
Personal,Call mom,61,1,No Deadline,3,0,5,5,1,0,Low
Health,Take vitamins,33,1,Overdue,4,0,4,4,5,0,Low
Study,Submit assignment,19,5,Today,1,0,4,5,3,0,Low
Errand,Buy groceries,160,4,No Deadline,4,1,2,5,2,0,Low
Personal,Clean room,16,5,No Deadline,4,0,1,5,5,1,Low
Health,Go to gym,84,2,Today,1,1,5,4,4,0,Low
Health,Sleep early,115,3,This Week,3,1,2,5,1,1,Low
Errand,Buy groceries,121,2,Today,2,0,5,5,5,0,Low
Work,Review code,42,1,Overdue,1,0,2,1,4,0,Low
Study,Practice math,100,3,Tomorrow,3,0,2,1,3,0,Low
Personal,Clean room,64,1,Overdue,3,0,5,3,2,1,Low
Health,Meditate,159,3,Overdue,3,0,5,5,3,1,Medium
Study,Revise notes,128,5,Today,3,1,5,1,5,1,Medium
Errand,Pick up parcel,104,1,This Week,1,0,5,2,5,1,Low
Study,Revise notes,107,1,No Deadline,1,0,2,1,2,1,Low
Errand,Book tickets,137,4,Today,1,1,3,2,1,1,Medium
Work,Review code,52,1,This Week,3,1,3,3,2,0,Low
Work,Fix bug,145,3,Today,5,0,4,4,4,1,Medium
Errand,Book tickets,64,4,No Deadline,4,0,2,2,4,1,Low
Study,Submit assignment,10,3,Overdue,2,0,5,1,2,0,Medium
Work,Send report,172,1,Overdue,1,1,1,1,1,1,Low
Study,Read chapter,65,4,Overdue,1,1,1,4,5,0,Medium
Errand,Car service,144,4,No Deadline,1,0,5,1,4,0,Low
Errand,Book tickets,91,1,Tomorrow,4,0,1,3,1,0,Low
Study,Read chapter,29,3,Next Week,4,1,5,3,1,0,Medium
Study,Revise notes,147,5,Overdue,5,1,2,1,2,0,High
Health,Go to gym,143,2,Today,2,0,5,1,4,1,Low
Errand,Pick up parcel,113,1,No Deadline,4,1,2,1,4,0,Low
Health,Meditate,19,3,No Deadline,4,1,1,5,2,0,Low
Work,Write proposal,163,1,Tomorrow,3,0,1,3,5,1,Low
Work,Fix bug,105,4,Today,1,1,4,3,5,1,Low
Work,Attend meeting,128,4,Overdue,2,1,4,2,4,1,Medium
Health,Take vitamins,161,4,Today,3,1,3,3,1,1,Medium
Personal,Clean room,37,5,Overdue,1,0,1,4,4,1,Medium
Health,Take vitamins,74,2,Next Week,5,1,3,2,3,0,Medium
Study,Read chapter,58,5,Next Week,2,1,4,4,4,0,Medium
Personal,Clean room,139,2,No Deadline,4,0,2,2,3,0,Low
Personal,Pay bills,99,3,No Deadline,1,1,4,3,3,0,Low
Study,Watch lecture,149,4,This Week,2,0,3,2,3,1,Medium
Personal,Call mom,85,1,Next Week,5,1,5,1,3,1,Low
Study,Submit assignment,72,4,Tomorrow,1,1,2,4,2,0,Low
Study,Revise notes,178,4,No Deadline,2,1,1,1,3,0,Low
Personal,Organize photos,77,3,Next Week,1,0,2,3,1,0,Low
Personal,Pay bills,169,5,No Deadline,3,0,5,1,3,0,Low
Health,Go to gym,112,3,No Deadline,2,0,4,2,4,1,Low
Health,Sleep early,52,2,Overdue,1,1,2,3,4,1,Low
Personal,Pay bills,58,1,No Deadline,3,1,2,3,1,1,Low
Work,Send report,166,5,Tomorrow,3,1,3,3,4,1,Medium
Health,Go to gym,91,1,Next Week,3,0,5,5,2,0,Low
Work,Write proposal,48,4,No Deadline,3,0,3,2,5,1,Low
Study,Read chapter,143,3,No Deadline,4,0,2,5,4,0,Low
Work,Fix bug,90,2,Next Week,1,0,2,3,4,0,Low
Errand,Car service,14,5,Overdue,5,0,1,4,3,1,High
Study,Submit assignment,81,1,Next Week,1,0,1,2,3,1,Low
Personal,Pay bills,96,1,No Deadline,2,0,5,5,3,0,Low
Study,Submit assignment,128,1,This Week,2,0,1,2,3,1,Low
Health,Cook healthy meal,112,3,Next Week,3,1,2,3,4,0,Low
Work,Fix bug,38,4,This Week,4,0,1,3,5,0,Medium
Work,Review code,53,2,Overdue,2,0,4,5,3,0,Low
Errand,Car service,64,5,Overdue,2,0,5,5,1,0,Medium
Work,Review code,152,5,Tomorrow,5,1,1,4,5,1,Medium
Errand,Book tickets,166,3,This Week,1,0,1,3,2,1,Low
Personal,Call mom,153,2,Overdue,3,0,5,3,3,0,Low
Errand,Visit bank,14,3,Tomorrow,5,0,4,3,5,1,Medium
Work,Review code,151,5,Today,2,1,2,3,3,1,Medium
Study,Practice math,147,3,Today,3,0,1,4,3,1,Low
Work,Review code,25,2,This Week,3,1,1,2,3,1,Low
Personal,Pay bills,100,4,Tomorrow,3,1,4,3,5,0,Medium
Health,Meditate,19,5,Overdue,1,1,5,5,5,1,Medium
Errand,Book tickets,104,5,No Deadline,1,0,2,1,1,0,Low
Work,Write proposal,55,5,Overdue,2,0,1,4,3,1,Medium
Health,Sleep early,13,1,Today,2,1,3,4,1,1,Low
Errand,Visit bank,22,2,Today,3,1,4,2,5,0,Low
Errand,Visit bank,112,1,This Week,3,1,3,4,1,0,Low
Errand,Visit bank,55,3,Tomorrow,4,1,2,4,5,0,Low
Errand,Car service,131,3,No Deadline,2,0,2,3,2,1,Low
Personal,Call mom,172,3,This Week,2,0,1,4,2,1,Low
Work,Send report,80,1,This Week,3,1,5,4,1,0,Low
Personal,Call mom,80,2,Tomorrow,4,1,2,1,3,0,Low
Errand,Pick up parcel,65,2,Overdue,2,0,5,2,1,0,Low
Work,Write proposal,32,1,Today,3,0,3,5,2,0,Low
Errand,Visit bank,89,1,Tomorrow,3,1,2,4,1,0,Low
Study,Read chapter,72,5,Next Week,1,0,5,4,3,1,Medium
Work,Send report,163,4,Tomorrow,2,0,2,4,1,0,Low
Errand,Visit bank,33,5,Next Week,5,1,5,2,1,0,Medium
Health,Meditate,32,4,Tomorrow,4,1,1,3,1,1,Medium
Personal,Clean room,61,1,Today,4,1,1,3,2,1,Low
Health,Meditate,77,2,Next Week,1,0,4,3,2,0,Low
Work,Fix bug,106,5,Next Week,1,0,1,1,5,1,Medium
Work,Fix bug,49,1,No Deadline,2,0,3,2,4,0,Low
Work,Review code,14,5,Today,2,1,3,3,4,0,Medium
Health,Cook healthy meal,55,2,Tomorrow,2,0,3,3,1,1,Low
Errand,Pick up parcel,116,2,No Deadline,5,1,4,4,3,1,Low
Study,Read chapter,96,5,Today,5,1,5,5,3,0,Medium
Personal,Clean room,76,2,Tomorrow,5,1,2,2,4,1,Medium
Health,Go to gym,58,5,This Week,2,0,5,4,2,1,Medium
Health,Cook healthy meal,97,2,This Week,5,0,5,4,4,0,Low
Work,Write proposal,110,3,Today,5,0,5,1,1,0,Medium
Health,Take vitamins,111,5,Tomorrow,4,1,5,5,2,1,Medium
Personal,Pay bills,18,2,Today,2,0,3,4,1,1,Low
Work,Write proposal,118,2,Tomorrow,2,0,1,2,2,1,Low
Personal,Clean room,100,3,No Deadline,2,1,5,5,5,0,Low
Work,Fix bug,116,1,No Deadline,4,1,1,3,4,0,Low
Health,Take vitamins,122,3,This Week,2,0,3,4,5,0,Low
Personal,Clean room,128,2,Today,2,1,5,2,4,0,Low
Errand,Car service,143,3,No Deadline,5,0,5,5,2,1,Low
Study,Read chapter,167,1,Next Week,5,0,4,1,5,0,Low
Errand,Buy groceries,62,5,Overdue,2,1,4,2,2,1,Medium
Health,Meditate,115,2,This Week,1,0,5,4,5,0,Low
Work,Write proposal,162,1,Tomorrow,4,0,1,5,5,0,Low
Health,Cook healthy meal,82,3,This Week,5,1,2,4,3,1,Medium
Errand,Book tickets,33,3,Overdue,3,1,2,1,3,0,Medium
Work,Write proposal,113,1,Overdue,1,1,3,1,2,1,Low
Work,Review code,129,4,Overdue,2,1,2,2,4,0,Medium
Work,Write proposal,51,2,No Deadline,2,0,5,5,4,1,Low
Study,Read chapter,174,5,Next Week,4,1,4,4,3,0,Medium
Work,Send report,127,5,Overdue,5,1,1,3,2,0,High
Health,Take vitamins,146,2,Overdue,3,0,2,1,2,1,Medium
Personal,Clean room,94,2,Overdue,4,1,3,2,4,0,Medium
Work,Send report,43,3,This Week,3,1,5,2,1,0,Low
Health,Cook healthy meal,109,1,This Week,4,0,2,1,4,0,Low
Work,Write proposal,110,5,Tomorrow,2,0,5,3,1,1,Medium
Errand,Car service,55,4,This Week,2,0,2,4,5,0,Low
Health,Sleep early,179,2,No Deadline,4,1,3,5,3,0,Low
Work,Review code,134,2,Tomorrow,5,0,2,2,4,1,Medium
Work,Review code,54,4,Overdue,5,0,1,1,3,1,High
Health,Meditate,155,4,This Week,3,1,2,3,4,0,Medium
Errand,Pick up parcel,137,4,Today,3,0,1,4,4,1,Medium
Health,Sleep early,136,2,Today,5,0,3,5,1,1,Low
Study,Revise notes,95,3,Overdue,2,0,4,2,4,1,Medium
Personal,Organize photos,126,1,Next Week,3,0,3,2,1,1,Low
Health,Cook healthy meal,46,5,Overdue,4,0,1,5,4,0,Medium
Health,Cook healthy meal,66,3,No Deadline,3,0,5,2,3,1,Low
Health,Sleep early,116,2,Today,4,1,1,1,5,0,Low
Health,Sleep early,135,5,This Week,3,1,5,1,1,0,Medium
Work,Send report,118,5,Next Week,1,1,1,5,3,1,Medium
Errand,Buy groceries,132,2,Next Week,1,0,3,3,5,0,Low
Personal,Organize photos,156,2,Overdue,3,0,5,4,2,1,Low
Personal,Clean room,106,4,Overdue,3,1,4,5,5,0,Medium
Work,Attend meeting,136,4,Next Week,4,0,5,1,2,1,Medium
Health,Take vitamins,54,2,Overdue,1,0,5,5,5,0,Low
Work,Review code,151,4,No Deadline,4,0,3,1,3,1,Low
Work,Write proposal,22,1,Overdue,3,0,2,5,5,0,Low
Errand,Visit bank,101,5,Today,4,0,4,1,5,1,Medium
Personal,Plan trip,147,1,Tomorrow,4,1,1,1,4,0,Low
Study,Practice math,31,5,No Deadline,3,1,3,2,4,0,Low
Study,Read chapter,7,1,Tomorrow,3,0,4,5,3,1,Low
Health,Meditate,168,5,This Week,4,0,4,2,3,1,Medium
Study,Watch lecture,117,3,This Week,3,0,2,5,3,1,Low
Errand,Book tickets,38,1,Next Week,4,1,1,2,5,1,Low
Personal,Clean room,35,2,Next Week,2,1,3,2,1,1,Low
Personal,Call mom,127,3,This Week,3,1,3,2,5,0,Low
Work,Review code,47,2,This Week,1,1,4,2,2,1,Low
Work,Review code,29,3,Tomorrow,2,1,1,2,5,0,Low
Errand,Car service,65,2,Next Week,5,1,4,2,3,0,Medium
Personal,Call mom,68,2,Tomorrow,5,0,3,4,3,1,Low
Health,Go to gym,119,1,No Deadline,2,0,1,5,5,0,Low
Health,Sleep early,165,5,Tomorrow,4,0,4,4,3,1,Medium
Errand,Buy groceries,133,4,This Week,4,0,2,3,4,0,Medium
Personal,Organize photos,172,3,Today,4,1,1,2,5,1,Medium
Health,Meditate,135,4,Overdue,1,1,3,1,5,0,Medium
Work,Write proposal,90,3,No Deadline,3,0,3,5,2,1,Low
Personal,Call mom,129,4,This Week,2,1,2,4,3,1,Medium
Study,Practice math,128,3,Next Week,1,0,5,2,1,0,Low
Study,Watch lecture,121,3,This Week,3,0,1,5,2,1,Low
Work,Send report,83,4,This Week,3,1,4,5,3,1,Medium
Work,Fix bug,105,1,Today,4,1,4,1,3,1,Low
Personal,Clean room,79,3,Tomorrow,3,0,2,1,4,0,Low
Health,Take vitamins,157,3,Overdue,5,1,5,5,3,1,Medium
Personal,Organize photos,169,4,Next Week,2,1,2,3,1,1,Medium
Health,Take vitamins,25,3,Today,3,1,3,3,5,1,Medium
Study,Read chapter,27,2,This Week,3,0,3,2,2,0,Low
Work,Send report,28,5,Today,2,1,1,4,1,1,Medium
Work,Fix bug,144,5,Tomorrow,4,0,5,3,1,0,Medium
Personal,Call mom,117,1,Overdue,5,0,1,4,3,0,Low
Work,Review code,69,4,Tomorrow,5,1,4,4,1,0,Medium
Work,Fix bug,14,1,Tomorrow,5,1,1,3,2,1,Low
Health,Take vitamins,98,5,No Deadline,5,0,5,3,5,0,Medium
Study,Watch lecture,8,4,No Deadline,1,0,1,1,4,1,Low
Health,Go to gym,103,4,Today,5,0,4,5,3,1,Medium
Health,Take vitamins,118,2,No Deadline,3,0,3,3,3,1,Low
Errand,Car service,92,3,Next Week,5,0,3,3,3,1,Medium
Errand,Car service,70,4,Tomorrow,1,0,4,3,2,1,Low
Health,Cook healthy meal,91,4,Today,3,1,2,2,5,1,Medium
Health,Sleep early,40,3,Today,4,0,3,2,2,1,Medium
Personal,Organize photos,112,5,No Deadline,5,0,3,5,5,0,Low
Study,Practice math,93,4,This Week,2,0,5,5,5,1,Low
Study,Watch lecture,100,3,No Deadline,3,0,2,4,3,0,Low
Health,Go to gym,87,3,Next Week,3,0,4,2,2,0,Low
Personal,Call mom,93,4,Overdue,1,0,2,2,3,0,Medium
Personal,Organize photos,143,3,Today,1,1,2,4,2,1,Low
Personal,Organize photos,80,2,Overdue,4,1,2,3,4,0,Medium
Errand,Visit bank,109,1,This Week,5,1,4,4,2,0,Low
Personal,Call mom,157,1,Overdue,3,0,5,5,2,1,Low
Errand,Pick up parcel,179,5,Today,4,0,1,5,2,0,Medium
Work,Write proposal,26,5,Next Week,2,0,5,1,5,1,Medium
Study,Read chapter,66,2,This Week,2,0,1,1,3,0,Low
Health,Sleep early,17,4,Today,4,1,5,3,4,0,Medium
Errand,Pick up parcel,141,2,Overdue,3,1,3,4,4,1,Medium
Errand,Pick up parcel,49,5,This Week,3,0,2,3,4,1,Medium
Health,Cook healthy meal,22,1,Next Week,4,1,1,3,1,0,Low
Errand,Car service,13,3,Today,3,0,5,5,2,0,Low
Work,Send report,12,3,Overdue,1,0,5,4,4,1,Low
Personal,Clean room,166,5,Tomorrow,3,0,3,5,3,1,Medium
Personal,Organize photos,133,1,Next Week,1,1,3,3,4,1,Low
Errand,Visit bank,93,4,Next Week,1,0,5,2,5,0,Low
Personal,Call mom,33,1,No Deadline,3,0,1,2,4,1,Low
Study,Revise notes,65,4,Next Week,2,1,2,1,4,1,Medium
Errand,Buy groceries,89,3,This Week,3,1,2,3,2,1,Medium
Health,Cook healthy meal,130,5,This Week,5,0,5,2,3,1,High
Health,Go to gym,146,2,Overdue,4,1,2,2,5,0,Medium
Work,Write proposal,75,4,Tomorrow,3,0,1,2,2,1,Medium
Work,Review code,173,1,This Week,3,0,2,5,5,0,Low
Study,Submit assignment,48,5,Overdue,2,1,4,5,5,0,Medium
Study,Read chapter,69,3,This Week,2,1,5,2,2,1,Low
Health,Cook healthy meal,107,2,Tomorrow,5,1,2,4,4,1,Medium
Work,Review code,50,4,Next Week,5,0,2,1,4,1,Medium
Health,Cook healthy meal,36,4,Next Week,2,0,5,2,2,0,Low
Work,Send report,161,1,Tomorrow,3,1,5,5,3,0,Low
Study,Read chapter,84,1,Today,1,0,3,1,5,1,Low
Study,Revise notes,86,3,This Week,2,1,1,2,1,1,Low
Health,Cook healthy meal,133,2,Overdue,4,0,5,4,3,0,Medium
Errand,Pick up parcel,130,3,Overdue,1,0,1,4,2,0,Low
Errand,Pick up parcel,45,3,Tomorrow,2,0,1,2,1,0,Low
Health,Cook healthy meal,43,3,Tomorrow,2,0,3,4,5,1,Low
Errand,Visit bank,45,3,This Week,2,1,5,2,1,0,Low
Errand,Pick up parcel,120,3,Tomorrow,4,1,5,4,4,1,Medium
Work,Review code,56,1,Tomorrow,4,0,1,5,4,1,Low
Personal,Pay bills,25,4,Today,1,0,4,2,3,0,Low
Errand,Book tickets,46,4,Today,3,0,5,5,4,0,Low
Health,Take vitamins,55,4,Today,3,0,3,2,3,0,Medium
Errand,Car service,104,2,No Deadline,4,0,4,4,2,1,Low
Errand,Buy groceries,172,1,This Week,5,1,3,3,5,0,Low
Errand,Car service,12,5,Today,3,1,3,2,2,0,Medium
Work,Review code,60,4,Next Week,4,1,1,2,5,1,Medium
Health,Meditate,153,1,No Deadline,5,1,3,2,5,1,Low
Personal,Pay bills,41,2,Today,2,0,4,3,4,1,Low
Study,Watch lecture,157,4,Tomorrow,5,0,4,3,5,0,Medium
Health,Cook healthy meal,40,4,Next Week,1,1,5,4,3,0,Low
Health,Sleep early,97,3,No Deadline,3,0,1,3,1,0,Low
Errand,Pick up parcel,59,3,No Deadline,4,1,3,5,1,0,Low
Health,Cook healthy meal,107,2,Next Week,4,0,3,5,4,0,Low
Work,Write proposal,125,3,Today,3,0,5,3,2,0,Low
Health,Meditate,103,3,Overdue,3,1,3,5,4,1,Medium
Study,Submit assignment,132,5,This Week,4,1,5,5,5,1,Medium
Personal,Pay bills,92,1,Overdue,1,0,4,2,4,1,Low
Errand,Visit bank,114,3,Next Week,3,1,3,5,5,0,Low
Personal,Organize photos,115,2,This Week,1,0,2,2,1,0,Low
Health,Go to gym,169,1,Today,1,1,1,2,5,0,Low
Study,Submit assignment,148,2,Today,4,1,1,2,5,1,Medium
Study,Watch lecture,129,4,Today,4,1,4,1,4,1,Medium
Personal,Organize photos,32,2,Overdue,2,0,2,2,2,1,Low
Study,Practice math,41,3,No Deadline,1,1,5,3,1,0,Low
Errand,Book tickets,131,3,Overdue,1,1,2,5,4,0,Low
Study,Read chapter,65,1,This Week,5,0,2,5,2,0,Low
Work,Attend meeting,176,5,This Week,4,0,5,1,4,0,Medium
Work,Fix bug,145,3,Overdue,1,0,1,5,2,0,Low
Health,Meditate,50,2,Tomorrow,5,0,4,4,4,0,Low
Work,Attend meeting,74,3,Overdue,2,1,3,1,5,1,Medium
Work,Fix bug,50,2,Tomorrow,4,1,1,5,2,0,Low
Health,Take vitamins,10,2,No Deadline,1,0,1,3,1,0,Low
Work,Fix bug,154,5,Today,3,0,4,2,3,1,Medium
Errand,Car service,16,5,Next Week,4,1,5,5,2,0,Medium
Personal,Pay bills,32,4,Today,3,0,1,2,1,0,Medium
Study,Submit assignment,105,2,Today,3,0,1,4,4,1,Low
Health,Go to gym,66,1,No Deadline,3,1,4,5,1,1,Low
Errand,Car service,107,4,Tomorrow,3,0,2,5,3,1,Medium
Personal,Call mom,19,5,This Week,2,0,4,2,3,1,Medium
Health,Take vitamins,105,3,Tomorrow,3,1,1,5,2,0,Low
Errand,Buy groceries,17,5,Today,3,1,3,2,4,0,Medium
Work,Attend meeting,85,5,Next Week,1,1,2,5,4,0,Low
Health,Take vitamins,135,1,This Week,4,0,1,5,1,0,Low
Errand,Pick up parcel,115,1,Today,1,1,1,3,4,0,Low
Health,Take vitamins,169,1,Today,3,1,3,5,1,0,Low
Work,Write proposal,64,1,Tomorrow,2,0,3,2,2,0,Low
Errand,Visit bank,142,1,Next Week,1,0,2,2,2,1,Low
Study,Submit assignment,11,1,This Week,5,0,5,5,5,1,Low
Study,Read chapter,117,2,Next Week,2,0,4,3,2,0,Low
Personal,Organize photos,142,4,This Week,3,1,1,5,3,1,Medium
Personal,Call mom,152,4,Tomorrow,4,0,5,1,5,0,Medium
Errand,Buy groceries,106,1,This Week,3,1,3,4,1,1,Low
Errand,Visit bank,95,4,Next Week,1,1,4,4,3,1,Low
Health,Cook healthy meal,81,1,Tomorrow,1,0,1,1,1,1,Low
Health,Meditate,19,2,Next Week,2,0,1,3,2,0,Low
Health,Go to gym,45,4,This Week,1,1,2,1,2,1,Medium
Study,Read chapter,67,3,Today,1,1,3,4,5,0,Low
Personal,Clean room,102,1,This Week,5,1,4,5,2,1,Low
Errand,Book tickets,151,1,Tomorrow,2,1,1,1,1,0,Low
Health,Take vitamins,138,2,Next Week,1,0,2,3,3,1,Low
Personal,Organize photos,136,3,Next Week,1,1,4,2,1,1,Low
Personal,Organize photos,62,4,Overdue,2,0,5,3,2,0,Medium
Errand,Book tickets,122,3,Overdue,2,0,4,1,1,0,Medium
Errand,Visit bank,58,4,Tomorrow,2,1,3,2,3,0,Medium
Work,Send report,7,5,Today,3,0,1,4,2,1,Medium
Personal,Call mom,74,5,This Week,5,0,4,1,4,1,High
Work,Fix bug,119,5,Today,1,0,3,2,3,1,Medium
Personal,Pay bills,161,5,Next Week,1,1,4,3,2,1,Medium
Study,Revise notes,134,1,Tomorrow,3,1,2,4,2,1,Low
Errand,Visit bank,149,3,This Week,4,1,3,1,4,1,Medium
Work,Fix bug,122,2,Overdue,3,0,3,1,4,0,Medium
Work,Write proposal,78,2,Next Week,5,0,1,5,4,1,Low
Study,Read chapter,178,4,Tomorrow,2,1,4,3,2,0,Medium
Personal,Pay bills,139,2,Overdue,1,0,5,2,4,0,Low
Health,Cook healthy meal,175,3,Overdue,3,1,1,4,3,1,Medium
Errand,Car service,52,3,Next Week,3,0,1,3,5,0,Low
Work,Review code,24,4,Overdue,4,1,2,4,1,1,Medium
Personal,Call mom,83,3,No Deadline,4,1,2,5,4,1,Low
Personal,Organize photos,146,1,Today,3,1,3,3,4,1,Low
Health,Go to gym,152,4,Tomorrow,5,1,1,2,2,0,Medium
Study,Practice math,147,3,Tomorrow,3,0,2,2,3,1,Medium
Study,Practice math,155,5,Today,5,1,2,3,5,1,High
Work,Write proposal,61,4,Overdue,5,0,2,2,5,0,Medium
Personal,Organize photos,154,5,Today,1,0,5,4,1,0,Low
